T10G,X10G,T10L,X10L,T15G,X15G,T15L,X15L,T20G,X20G,T20L,X20L,T25G,X25G,T25L,X25L,T40G,X40G,T40L,X40L
-0.3125,0.4,-0.3125,-0.4,0,0,0,0,0.15625,0,-0.390605927,-0.066668701,0.307692308,0.4,-0.153846154,-0.4,0.307692308,0.198019802,0.307692308,-0.330030989
0.15625,22.8,0.15625,4.8,0.465116279,24.8,0.465116279,7.6,0.15625,26.4,0.546894073,8.333331299,0.769230769,26.8,0.769230769,8.4,1.230769231,45.74257426,1.230769231,16.30363238
0.15625,44.4,0.15625,16,0.930232558,38,0.930232558,12.8,1.09375,47.6,1.015644073,16.7333313,1.230769231,41.6,0.769230769,13.6,2.153846154,70.69306931,2.153846154,30.95709772
1.5625,53.6,1.5625,18.4,1.395348837,52,1.395348837,20,1.5625,58.8,1.015644073,21.1333313,1.692307692,58.8,1.692307692,23.2,3.538461538,81.78217822,3.076923077,38.8778898
2.03125,67.2,2.03125,27.6,2.325581395,65.6,1.860465116,26.8,2.03125,70.8,2.421894073,29.1333313,2.615384615,72,1.692307692,28.4,5.384615385,92.87128713,5.384615385,52.73927594
2.96875,78.8,2.96875,33.73333333,3.255813953,80.8,3.255813953,37.2,2.96875,84.4,2.890644073,41.1333313,3.076923077,80.8,3.076923077,36.4,10,98.41584158,10.46153846,71.74917693
3.90625,84,3.4375,36.8,4.186046512,87.6,3.720930233,44.4,3.4375,89.2,3.828144073,46.3333313,4.461538462,90.8,4.461538462,50.8,15.07692308,98.81188119,15.07692308,79.66996901
4.84375,92.4,5.3125,52,4.651162791,93.6,5.11627907,55.2,4.375,94.8,4.765644073,56.3333313,5.384615385,94,4.923076923,53.6,20.15384615,99.6039604,20.15384615,86.00660267
6.71875,96,7.1875,56.4,6.976744186,96.8,6.976744186,63.2,6.71875,97.6,7.109394073,66.3333313,7.230769231,97.2,7.230769231,63.2,25.23076923,99.6039604,24.76923077,87.59076109
9.53125,98.4,10,73.6,10.23255814,99.2,9.76744186,76,10,98.8,10.39064407,75.1333313,10.46153846,99.2,10.46153846,72.4,35.38461538,99.6039604,34.92307692,92.34323634
14.6875,99.6,14.6875,84.4,14.88372093,99.6,14.88372093,82,15.15625,99.6,15.07814407,83.1333313,15.53846154,100,14.61538462,81.2,45.07692308,99.6039604,45.07692308,93.53135515
19.84375,99.2,20.3125,89.2,20.46511628,99.6,20,88.4,20.3125,99.6,19.29689407,89.1333313,20.15384615,100.4,19.69230769,87.2,70,99.6039604,70,95.51155317
24.53125,99.6,25,92,24.65116279,99.6,25.11627907,91.6,25,99.6,24.92189407,93.1333313,25.23076923,100.4,25.23076923,90.8,119.8461538,99.20792079,119.3846154,96.30363238
34.84375,100,35.3125,94.4,34.88372093,99.6,34.88372093,94.8,35.3125,99.6,34.76564407,95.1333313,35.38461538,100.4,35.38461538,94.8,,,,
45.15625,99.6,44.6875,94.8,45.11627907,99.6,45.11627907,95.2,45.15625,99.6,45.54689407,95.5333313,45.07692308,100.4,45.07692308,95.6,,,,
70,100,70,95.6,69.30232558,100,69.76744186,96,70,99.2,69.92189407,97.5333313,69.53846154,100.4,69.53846154,97.6,,,,
120.625,99.6,120.625,96,120,100,120,97.6,120.625,99.6,120.0781441,97.5333313,119.3846154,100.4,119.8461538,97.6,,,,